id,pred
0,0.0183838415
1,0.9194989257
2,0.9658571087
3,0.9703246106
4,0.0026301440
5,0.9941541779
6,0.9304146255
7,0.0007488013
8,0.5626404288
9,0.9150287954
10,0.0082954399
11,0.7098025297
12,0.0038013592
13,0.9393635799
14,0.4994802135
15,0.0937730364
16,0.2943827212
17,0.0005106969
18,0.1941119474
19,0.9774377859
20,0.0007488013
21,0.0265343606
22,0.8076290825
23,0.8986735302
24,0.0011927928
25,0.1463312504
26,0.9824581391
27,0.9644968774
28,0.0298193341
29,0.9475436200
30,0.9246990311
31,0.0125550703
32,0.1028524608
33,0.0102514323
34,0.0042242307
35,0.0007488013
36,0.0652092163
37,0.9622628687
38,0.0014522605
39,0.0061269860
40,0.0787926153
41,0.0290574376
42,0.0020153924
43,0.0028262440
44,0.9760875112
45,0.0294154511
46,0.9236396092
47,0.9694545497
48,0.8794032227
49,0.9286195284
50,0.2709943774
51,0.9613972670
52,0.0852927746
53,0.0035733549
54,0.9836428522
55,0.0047380914
56,0.0004248105
57,0.0016060715
58,0.9787516550
59,0.0003775694
60,0.0012915050
61,0.0058552391
62,0.9626245203
63,0.9697174038
64,0.0504789990
65,0.0134185204
66,0.0052901983
67,0.0026569172
68,0.7625491535
69,0.9215062612
70,0.0893358929
71,0.0231903858
72,0.4715253088
73,0.9592868810
74,0.0260457820
75,0.0043348069
76,0.0031665570
77,0.0016199903
78,0.8502301373
79,0.0102968770
80,0.0010857400
81,0.9513454904
82,0.0218218242
83,0.0183779232
84,0.3616041294
85,0.8170824794
86,0.6772007587
87,0.0041647101
88,0.8655478699
89,0.9784543460
90,0.0012609976
91,0.0334622138
92,0.0102891725
93,0.0035326885
94,0.6029879103
95,0.0073704800
96,0.0011312281
97,0.9688054645
98,0.0006186435
99,0.0236755377
100,0.9674990986
101,0.0081518799
102,0.9616902481
103,0.0011130119
104,0.8388085670
105,0.9564838192
106,0.0194198481
107,0.4356745170
108,0.9862378435
109,0.8905709805
110,0.1782159881
111,0.0872139641
112,0.9829093824
113,0.8444779620
114,0.0032294608
115,0.0006296918
116,0.0007488013
117,0.5625490867
118,0.1293290412
119,0.7553606710
120,0.0282491278
121,0.9576972107
122,0.8404005883
123,0.0015778304
124,0.0007818845
125,0.0004189833
126,0.0606480098
127,0.9967046351
128,0.9651639040
129,0.8994490267
130,0.9713928236
131,0.6461486608
132,0.0015203647
133,0.0012132248
134,0.0845448831
135,0.9497913036
136,0.0039654449
137,0.0139661170
138,0.0147023404
139,0.0003408777
140,0.0016329351
141,0.0022125869
142,0.0005031349
143,0.7315339551
144,0.9654121460
145,0.0023551393
146,0.0668345747
147,0.0418778661
148,0.0035186934
149,0.0010636381
150,0.0021283446
151,0.0048337183
152,0.9483332505
153,0.9606931588
154,0.0012860890
155,0.0004736668
156,0.0020389366
157,0.0015230348
158,0.9610014740
159,0.8979375088
160,0.2640874638
161,0.1646769536
162,0.7209119851
163,0.0014249954
164,0.9159316955
165,0.9448765289
166,0.9475809371
167,0.7736331602
168,0.0025066671
169,0.9540804043
170,0.0140426500
171,0.0034453315
172,0.0280555727
173,0.0197133017
174,0.0448473628
175,0.2217545816
176,0.9228779819
177,0.1023851956
178,0.0292730597
179,0.8988954079
180,0.0469740403
181,0.9530769787
182,0.0004506728
183,0.9738687794
184,0.8372818446
185,0.9821370027
186,0.0043187641
187,0.0439209317
188,0.0077613227
189,0.0003775694
190,0.0155686627
191,0.0024487592
192,0.9762016787
193,0.9242090795
194,0.3531997677
195,0.9486861653
196,0.0037293755
197,0.0005788611
198,0.8903790996
199,0.0654763249
200,0.0017457640
201,0.0025255309
202,0.9811756570
203,0.9620927528
204,0.0028200478
205,0.0932300272
206,0.6435969400
207,0.9670226598
208,0.0071880747
209,0.0004248105
210,0.9824581391
211,0.9883409803
212,0.2462183142
213,0.9762744744
214,0.0011356437
215,0.0062213508
216,0.0011573492
217,0.1522946881
218,0.0006123342
219,0.9459731085
220,0.0015983877
221,0.2636401106
222,0.9576709802
223,0.0073258289
224,0.0887194362
225,0.0024213234
226,0.0017033466
227,0.0379797012
228,0.0043153091
229,0.9510432584
230,0.0005671290
231,0.4630485508
232,0.0041093170
233,0.0035559301
234,0.9317065926
235,0.9290007021
236,0.0173827212
237,0.0472724113
238,0.0607756016
239,0.0016171927
240,0.0027574344
241,0.1158466710
242,0.0025108950
243,0.0007780713
244,0.0248964684
245,0.9237722205
246,0.9624136588
247,0.0033567347
248,0.7869240547
249,0.0013098756
250,0.9837748582
251,0.0235565626
252,0.1292729233
253,0.9225590014
254,0.0036822983
255,0.9486489665
256,0.0104671299
257,0.9085732734
258,0.4710665664
259,0.0034559663
260,0.3533716815
261,0.0086871045
262,0.0017361160
263,0.3717635479
264,0.9139535180
265,0.7715183102
266,0.9794811773
267,0.7034554023
268,0.0214942495
269,0.0014737492
270,0.0217401298
271,0.9768712483
272,0.0019981933
273,0.0636790902
274,0.9508096260
275,0.0055400269
276,0.0312085231
277,0.5236067799
278,0.9279648056
279,0.1152387669
280,0.9400599755
281,0.0007186557
282,0.9786982904
283,0.0006527249
284,0.0014171898
285,0.9787129769
286,0.5633636438
287,0.0005915391
288,0.9557246568
289,0.9096026071
290,0.0012643692
291,0.3743581304
292,0.0195921777
293,0.0029896610
294,0.9617101757
295,0.0008323374
296,0.3298272763
297,0.9401140471
298,0.0089995478
299,0.9645319562
300,0.0014522605
301,0.9477148104
302,0.9528927739
303,0.0027937291
304,0.0003079047
305,0.0091285489
306,0.0018092000
307,0.9051112593
308,0.6578221419
309,0.0069657071
310,0.9466505770
311,0.9634935559
312,0.9687239047
313,0.0012586909
314,0.9337705795
315,0.0065747410
316,0.0009687107
317,0.2157482547
318,0.0016329351
319,0.0077418280
320,0.0867734114
321,0.3442494757
322,0.6261423191
323,0.0087593728
324,0.0003079047
325,0.0963383772
326,0.9841793726
327,0.0002913795
328,0.0024857334
329,0.0008393296
330,0.0014767348
331,0.0025637049
332,0.0018592021
333,0.2217545816
334,0.0013333076
335,0.9850779753
336,0.0300579735
337,0.8802515631
338,0.0111935761
339,0.2713209032
340,0.0093640428
341,0.0005589507
342,0.0126079821
343,0.0026320784
344,0.1400803340
345,0.0018093249
346,0.0052038260
347,0.0025900038
348,0.1968286419
349,0.8353378384
350,0.0308734733
351,0.9401020822
352,0.9636561312
353,0.9705051952
354,0.0126513583
355,0.0021131700
356,0.0149468454
357,0.0041501252
358,0.0069615550
359,0.0005206510
360,0.3271815579
361,0.0685749189
362,0.0014522605
